appid,name,overall_similarity,best_community,best_community_similarity
19320,Space Ark,0.1591970174348672,8,0.554021551907512
777760,Charlie II,0.18312479041982616,8,0.5535532368656478
795020,Charlie II Demo,0.18312479041982616,8,0.5535532368656478
664800,Alter Ego Demo,0.13223589946907738,10,0.5530141629598249
1660370,Wildlife Match,0.17668034391352183,3,0.551795987647499
910830,Rebel Galaxy Outlaw,0.3177246242447041,9,0.5515167920528655
1173240,Profitania,0.15445812169129963,12,0.5513908024884757
787040,Perfect Heist,0.19087279531401294,3,0.5503574076371113
330950,Pure Chess - Steampunk Game Pack,0.17668034391352183,12,0.5503326014302746
1640630,Heading Out,0.3022721219048355,3,0.5500305453904183
1342890,Who Needs a Hero?,0.20671396324276609,10,0.549009109152473
552380,[R.U.M.A],0.17668034391352183,8,0.5490061760586971
711600,Dragon Orb,0.18458446117990432,3,0.548499005905736
1008610,The Trials of Olympus 2: Wrath of the Gods,0.17668034391352183,3,0.5482686507868288
556870,Charlie's Adventure,0.17062101109411834,1,0.5471005326464408
729000,Wytchwood,0.2611537530688475,10,0.5469837353375822
492180,Haimrik,0.2171383952512112,11,0.5468521399481694
673540,Mogo Invasion,0.1433470105801885,12,0.546628897726571
678520,Gal*Gun VR,0.16428898676573936,6,0.5465477384757218
491100,"Human, we have a problem",0.19087279531401294,8,0.5428886674553225
1130620,Aka Manto | 赤マント,0.19590145628686711,3,0.5423575355031112
1004270,My Island,0.1555214059911376,10,0.5421526043681272
268130,Heat Signature,0.2499981313910743,3,0.5420102047616772
277910,Mars Colony: Challenger,0.1433470105801885,10,0.5419030518487138
275390,Guacamelee! Super Turbo Championship Edition,0.2933257775012282,8,0.541133614547688
2804680,Only Way is Down,0.20102594645485936,8,0.5403047125814726
2559360,Symmodance,0.2128640408516119,3,0.5396510401683291
726830,Vacation Simulator,0.3177246242447041,7,0.5394458064722734
2304180,Gyno Tales - Season 1,0.17696937789718772,10,0.5385262778815483
211400,Deadlight,0.31348315909577656,5,0.5378317406720554
413710,Blood and Gold: Caribbean!,0.20791720082771595,11,0.5378075912995854
1178150,MazM: Jekyll and Hyde,0.21400974848551124,9,0.5375799954291157
801600,夜雪冰娇,0.17668034391352183,11,0.5373775264118918
628960,Journey to Alien Worlds,0.18764849537730985,8,0.5372888009404574
1191580,Nexomon,0.16090256819760396,10,0.5367037493819171
867590,Sakura and Crit: The Mock Game,0.17668034391352183,8,0.5363077633602843
578830,Cavern of Time,0.1619582942935406,10,0.5347075624422732
841190,"Honey, I Joined a Cult",0.3124092060706211,12,0.5344819709183056
545410,A Trip to Yugoslavia: Director's Cut,0.13914508957025892,1,0.5338172380287837
2278630,Livestream 2: Escape from Togaezuka Happy Place,0.20888027997823702,13,0.5327766686572463
416310,Goblin Defenders: Steel‘n’ Wood,0.19420908647079457,2,0.5327400415777491
419480,Starpoint Gemini Warlords,0.28354116734642437,9,0.5326836952389558
1092000,Naked Story,0.19420908647079457,10,0.5326621849875695
2942050,Ports Of Call Deluxe 3D 2024,0.17668034391352183,12,0.5326192358908222
1229420,Company of Crime,0.2188114760135031,11,0.5322386004335758
261940,The Mysterious Cities of Gold - Secret Paths,0.18067641515217794,8,0.5320772276880584
578890,Selatria: Advent of the Dakk'rian Empire,0.18764849537730985,10,0.5318102842679445
413760,Go To Bed: Survive The Night,0.1591970174348672,8,0.5317993296852899
449610,Monster Boy And The Cursed Kingdom,0.27247123472302986,0,0.5314485634730622
512460,Nature And Life - Drunk On Nectar,0.16949059293433097,8,0.5299899362155375
696160,Necromancer Accountant,0.15445812169129963,12,0.5281103792080525
2316580,Tales of Kenzera™: ZAU,0.313923353365379,3,0.5280912101744817
575780,Inner silence,0.18039574342815362,1,0.5275639976777857
679770,Dr. Cares - Pet Rescue 911,0.1866580577560148,8,0.5272410739993232
2295610,Abathor,0.30324718518195043,5,0.5270982450008921
448670,Pinball HD Collection,0.15445812169129963,8,0.5267839538364748
549760,Evolution VR,0.15445812169129963,3,0.5260464285646066
516610,Guardian war VR,0.1433470105801885,8,0.525990303042824
1557480,Project MIKHAIL,0.17668034391352183,9,0.524930452526861
680430,Lemuria: Lost in Space - VR Edition Demo,0.18771378385195148,11,0.5240100702995732
758220,Osmorrow,0.16236223895768212,11,0.5239727094493984
1008710,Wet Girl,0.19337454097165777,10,0.5233778759347582
426790,Grow Up,0.298619020774566,1,0.5231628803637793
1213230,Rain on Your Parade,0.1651548269062786,8,0.5213041344477528
255070,Abyss Odyssey,0.2467237777080621,1,0.5210664359165401
580560,Hero Barrier,0.163325839053812,8,0.5210041381892915
2689230,FURRY BACKROOMS,0.17907812206813042,8,0.5204831103267485
496980,Cosmic Cavern 3671宇宙最大の地底最大の作戦,0.1684103184047773,1,0.5204704239198006
728830,San Matias - Mafia City,0.17668034391352183,8,0.5204347474872685
654000,A Quick Death,0.17668034391352183,8,0.5204347474872685
951640,Gangsta Sniper,0.17668034391352183,8,0.5204347474872685
767870,Dark Noid,0.17668034391352183,8,0.5204347474872685
484920,Full Game Upgrade,0.13223589946907738,3,0.5196972222154003
708760,Social Club VR : Casino Nights,0.21872284085709515,12,0.5192169211032265
207320,Ys: The Oath in Felghana,0.32658888345040527,9,0.5179272529820987
701750,Life on Mars Remake Demo,0.20888027997823702,11,0.5174431881608443
2262770,Garten of Banban 2,0.17668034391352183,4,0.5174207661374267
1886400,Golden Rails: Road To Klondike,0.21802361488225896,2,0.5157337682295002
1046300,Pirates Outlaws,0.21754986196782922,3,0.5152078146185911
362110,Guns'N'Zombies: N'Aliens,0.15445812169129963,11,0.5151553041896696
765770,Forest Legends: The Call of Love Collector's Edition,0.17668034391352183,8,0.5140855411380622
1093280,Ancient Stories: Gods of Egypt,0.17668034391352183,8,0.5140855411380622
572430,Party Hard 2 ,0.29353670597208664,9,0.5129867718486063
3233950,Star Fire Demo,0.17668034391352183,11,0.5122567534650319
2776020,Survive the Fall Demo,0.17668034391352183,11,0.5122567534650319
1914730,Mikoverse Playtest,0.1433470105801885,5,0.51189391156749
884080,Munchies,0.21400974848551124,8,0.5098550054658362
368990,Despair,0.1433470105801885,8,0.5093236363761574
534480,Tropical Girls VR,0.17668034391352183,8,0.5093236363761574
872580,The Neon Boy,0.20888027997823702,8,0.5085461886377712
422250,ShipLord,0.14479894614187303,8,0.5082987380155279
22230,Rock of Ages,0.29545628834118814,1,0.5082678677109372
11050,Dracula: Origin,0.24042138157063725,1,0.5080672283253806
332200,Axiom Verge,0.2612860506783057,8,0.5079853811038223
1737070,风起长安：驭骨人,0.19590145628686711,10,0.5079141760076893
839630,Survisland,0.17668034391352183,8,0.5072072342597552
714160,Walking Heavy Demo,0.2116213817965379,11,0.5070140255310434
1588910,Peppy's Adventure,0.1651548269062786,3,0.5063842029517314
425960,Tabletop Simulator - Mistfall,0.13223589946907738,12,0.5058881569858302
761910,Worbital,0.29870485406343067,3,0.505877209171237
2512200,Universe in Cum 2 💦 🌎,0.19929431882142118,4,0.5056212257102555
2119650,Convenience Stories,0.1856037981456638,12,0.5054682228743347
2757720,Sonny Legacy Collection,0.19091161107612462,11,0.5053621722611054
270110,Block Story,0.21872284085709515,11,0.5053100590054521
3077790,Banagine,0.17907812206813042,13,0.5051339685875593
1516490,CompactO - Idle Game,0.1975993840783818,12,0.5049081772682148
1155790,Dreamland Solitaire: Dragon's Fury,0.21802361488225896,2,0.5046226571183892
709470,Mirrors,0.1671769373520935,3,0.504443722730707
878970,The Block Box,0.18171855850970142,3,0.5039831093759787
1044770,Goddess of Math 数学女神,0.13223589946907738,3,0.5038242063423843
1179210,Kill It With Fire,0.27956419421443734,12,0.5032340172048533
1872680,The Knight Witch,0.29242300756982287,8,0.5028162970750907
355020,Bomb The Monsters!,0.18764849537730985,2,0.5024350930699024
708710,Defend Your Castle,0.17668034391352183,3,0.5024132715981163
1212830,Seek Girl Ⅳ,0.190497072038064,1,0.5021868136993017
1060810,The Sphere of Abyss,0.21678717396804542,11,0.502103150334912
3300850,No Such Place Playtest,0.1433470105801885,11,0.5019277909621565
258180,Deus Ex: The Fall,0.2167884341754855,11,0.5017533813122719
605180,Theory of Fear,0.17668034391352183,8,0.5013871284396495
416060,Westboro,0.19337454097165777,11,0.5012840534819044
525210,Nock: Hidden Arrow,0.17668034391352183,11,0.5003404893748548
1286880,Ship Graveyard Simulator,0.19961579629053322,0,0.5002381690307426
1061880,Conan Chop Chop,0.3124301367523495,6,0.5002101027634808
1269640,Beacon Pines,0.22732630988717242,0,0.5000930829146157
